added_at,id,name,popularity,uri,artist,album,release_date,duration_ms,length,danceability,acousticness,energy,instrumentalness,liveness,loudness,speechiness,tempo,time_signature,valence,mode,key,genres,genre_group
2023-04-05T14:24:20Z,1juU855MrNRey6Dh6sEbWh,Techno On My Mind,42,spotify:track:1juU855MrNRey6Dh6sEbWh,elMefti,Techno On My Mind,2022-06-10,317260,317260.0,0.729,0.00283,0.998,0.298,0.09,-8.161,0.0614,146.006,4.0,0.653,1.0,8.0,,
2023-04-04T16:28:17Z,752l1xT5G1OHzg71ZBnTyZ,Superman,52,spotify:track:752l1xT5G1OHzg71ZBnTyZ,Black Coffee,Home Brewed,2009-11-13,433626,433626.0,0.83,0.0621,0.688,0.708,0.12,-9.539,0.0706,123.979,4.0,0.73,0.0,5.0,"afro house, deep house, south african house, south african pop dance",house
2023-04-03T17:14:26Z,1KDBSFUqriIaMOg7igDUJ6,Lowdown - Classic Vocal,3,spotify:track:1KDBSFUqriIaMOg7igDUJ6,Soul Vision,Lowdown,2018-05-18,401273,401273.0,0.923,0.00506,0.564,0.164,0.0423,-9.748,0.123,124.979,4.0,0.734,0.0,11.0,,
2023-03-30T19:58:33Z,3lAbyDO7nk7vrXvQ1XNap8,Capture Casa,42,spotify:track:3lAbyDO7nk7vrXvQ1XNap8,HVOB,TOO,2022-04-08,400263,400263.0,0.374,0.71,0.571,0.538,0.139,-10.513,0.0748,127.014,4.0,0.0379,0.0,3.0,electronica,electronic
2023-03-29T13:50:40Z,3xsNTAAseZTnt9qeYBZVvA,GOOD TIMES - Elephant Talk Remix,39,spotify:track:3xsNTAAseZTnt9qeYBZVvA,Jungle,GOOD TIMES (Elephant Talk Remix),2022-11-18,295813,295813.0,0.649,0.00501,0.861,0.873,0.287,-6.255,0.0472,132.998,4.0,0.612,0.0,11.0,"indie soul, uk contemporary r&b",indie
2023-03-28T19:10:32Z,1B2xkcuOPjhtCWyojUKbUk,Hero Dance,42,spotify:track:1B2xkcuOPjhtCWyojUKbUk,Grand V,Hero Dance,2020-11-30,434000,434000.0,0.645,0.000336,0.96,0.898,0.0765,-5.807,0.0385,148.006,4.0,0.965,0.0,10.0,,
2023-03-27T07:08:33Z,4N2j73aEDUQKjlkYFkIio5,Acidule,34,spotify:track:4N2j73aEDUQKjlkYFkIio5,Various Artists,Ethereal VA,2022-02-21,355892,355892.0,0.606,0.0166,0.996,0.753,0.22,-7.465,0.0478,149.976,4.0,0.364,1.0,7.0,"disco, funk, post-disco, quiet storm, soul",funk
2023-03-24T19:15:06Z,4N28QlYB0XW6H5gaXBHt6T,1992,51,spotify:track:4N28QlYB0XW6H5gaXBHt6T,No_4mat,1992,2018-11-16,404998,404998.0,0.668,0.202,0.897,0.901,0.0986,-8.289,0.0492,127.972,4.0,0.516,0.0,3.0,,
2023-03-24T00:39:38Z,5atmUwQngfhOfZvgGJCrJ0,Meet Her At The Loveparade - Nalin & Kane Remix,43,spotify:track:5atmUwQngfhOfZvgGJCrJ0,Da Hool,Meet Her at the Loveparade,2001-08-20,594666,594666.0,0.796,0.0279,0.657,0.897,0.0926,-9.726,0.0649,132.992,4.0,0.221,1.0,2.0,bubble trance,trance
2023-03-23T21:24:05Z,7w8qT1UcnJIZafNiLu2C7h,Phonky Tribu - DJ HEARTSTRING Remix,48,spotify:track:7w8qT1UcnJIZafNiLu2C7h,Funk Tribu,Phonky Tribu (DJ HEARTSTRING Remix),2023-01-13,250348,250348.0,0.712,5.62e-05,0.935,0.868,0.0511,-4.213,0.0712,155.007,4.0,0.903,1.0,11.0,,
